EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5139550,CHASE CO.,SAFFORDVILLE,05/01/2000,1636,Tornado, ,F0,0,0,0,0,KS,CST, ,1093229,C,17,ICT,0,0,LAW ENFORCEMENT, ,1,55,3,W,3,W,SAFFORDVILLE,05/01/2000,1636,38.37,-96.45,38.37,-96.45,"Remained in open country.","",1
5139551,CHASE CO.,SAFFORDVILLE,05/01/2000,1655,Tornado, ,F0,0,0,0,0,KS,CST, ,1093229,C,17,ICT,0,0,LAW ENFORCEMENT, ,1,55,4,NW,4,NW,SAFFORDVILLE,05/01/2000,1655,38.42,-96.45,38.42,-96.45,"Remained in open country.","",2
5143583,LYON CO.,EMPORIA,05/01/2000,1756,Tornado, ,F0,0,0,0,0,KS,CST, ,1094806,C,111,TOP,0,0,LAW ENFORCEMENT, ,3,15,7,W,7,WNW,EMPORIA,05/01/2000,1808,38.40,-96.32,38.43,-96.30,"A cold air funnel touched down in open country and moved North about 3 miles before dissipating.","",3
5148882,BRAZORIA CO.,ROSHARON,05/02/2000,230,Tornado, ,F0,0,0,25000,0,TX,CST, ,1096605,C,39,HGX,0,0,LAW ENFORCEMENT, ,1,50, , , , ,ROSHARON,05/02/2000,231,29.35,-95.45,29.35,-95.45,"Barn damaged at FM 521 and FM 1462.","",4
5147294,JIM HOGG CO.,HEBBRONVILLE,05/02/2000,915,Tornado, ,F0,0,0,0,0,TX,CST, ,1096296,C,247,BRO,0,0,LAW ENFORCEMENT, ,.1,25,9,SE,9,SE,HEBBRONVILLE,05/02/2000,915,27.22,-98.58,27.22,-98.58,"Border Patrol saw the twister from highway 1017.  The tornado briefly touched down and tore up some fence, trees and it destroyed a barn.  The tornado damage was located about 5 miles south of Highway 285.","",5
5147787,CAMERON CO.,RIO HONDO,05/02/2000,1849,Tornado, ,F0,0,0,0,0,TX,CST, ,1096297,C,61,BRO,0,0,NWS STORM SURVEY, ,.1,25,4,E,4,E,RIO HONDO,05/02/2000,1852,26.23,-97.52,26.23,-97.52,"A National Weather Service storm survey team confirmed that a F0 tornado touched down briefly on a farmer's home at the intersection of FM2925 and Jaurez Road.  Moderate damage to the property's roof and back fence occurred.  A cyclonic pattern was observed in the debris field.  Shingles from the roof were strewn into the canopy of the trees in the front yard.","",6
5142429,SHELBY CO.,TENAHA,05/03/2000,1725,Tornado, ,F1,0,0,0,0,TX,CST, ,1094688,C,419,SHV,0,0,NWS STORM SURVEY, ,14,40,6,SE,9,SE,JOAQUIN,05/03/2000,1755,31.87,-94.18,31.87,-93.95,"Tornado occurred in all wooded and farmland area void of structures.  Numerous pine and oak trees snapped and pushed over.","",7
5147352,LONOKE CO.,CABOT,05/04/2000,1525,Tornado, ,F0,0,0,0,0,AR,CST, ,1096367,C,85,LZK,0,0,BROADCAST MEDIA, ,.1,15,4,W,4,W,CABOT,05/04/2000,1525,34.97,-92.08,34.97,-92.08,"A weak tornado affected a small area about 4 miles west of Cabot along Highway 89. The tornado touched down briefly and caused little damage. Some skirting was removed from a couple of mobile homes and a few large tree limbs were downed.","",8
5147353,PULASKI CO.,FERNDALE,05/04/2000,1620,Tornado, ,F1,0,0,0,0,AR,CST, ,1096368,C,119,LZK,0,0,BROADCAST MEDIA, ,.3,35,3,SE,3,SE,FERNDALE,05/04/2000,1620,34.75,-92.52,34.75,-92.52,"A weak tornado briefly touched down in western Pulaski County about 3 miles southeast of Ferndale. The tornado downed about 20 to 30 trees...some large...with one tree on a shed.  Only minor structural damage was noted, with a window blown out of a house.","",9
5147758,PULASKI CO.,ROLAND,05/04/2000,1650,Tornado, ,F0,0,0,0,0,AR,CST, ,1096369,C,119,LZK,0,0,GENERAL PUBLIC, ,.1,25,5,SW,5,SW,ROLAND,05/04/2000,1650,34.85,-92.55,34.85,-92.55,"A weak tornado briefly touched down in western Pulaski County about 5 miles southwest of Roland. The tornado mainly affected a marina on Lake Maumelle, with several boat docks damaged and a sailboat mast bent. One witness saw the tornado spin at least one sailboat around in the water.","",10
