EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5156956,BUTTE CO.,ARCO,09/01/2000,1530,Tornado, ,F0,0,0,0,0,ID,MST, ,1102803,C,23,PIH,0,0,GENERAL PUBLIC, ,2,10,8,SE,8,SE,ARCO,09/01/2000,1535,43.55,-113.18,43.55,-113.18,"This was a weak tornado that touched down in a remote area and caused no damage.","",1
5158446,WELD CO.,PURCELL,09/01/2000,1843,Tornado, ,F0,0,0,0,0,CO,MST, ,1104025,C,123,BOU,0,0,TRAINED SPOTTER, ,.1,25,10,E,10,E,PURCELL,09/01/2000,1845,40.63,-104.40,40.63,-104.40,"A small tornado touched down briefly in open country.","",2
5174576,HARRISON CO.,ORANGE GROVE,09/02/2000,1725,Tornado, ,F0,0,0,500,0,MS,CST, ,1103139,C,47,LIX,0,0,LAW ENFORCEMENT, ,.2,25, , , , ,ORANGE GROVE,09/02/2000,1725,30.43,-89.08,30.43,-89.08,"A weak torando briefly touched down near Canal Road knocking down several trees.","",3
5174577,HARRISON CO.,GULFPORT,09/02/2000,1929,Tornado, ,F0,0,0,30000,0,MS,CST, ,1103140,C,47,LIX,0,0,EMERGENCY MANAGER, ,.2,25, , , , ,GULFPORT,09/02/2000,1929,30.38,-89.08,30.38,-89.08,"A tornado caused damage in a two block area at Pass and Courthouse Roads. Windows were blown out in a shopping center and roof damage occurred to two businesses.  Several cars in a parking lot were damaged, a sign was knocked down, and a tree fell on a moving car on Pass Road.","",4
5175223,DUVAL CO.,JAX CRAIG MUNI ARPT,09/06/2000,1040,Tornado, ,F0,0,0,0,0,FL,EST, ,1103173,C,31,JAX,0,0,LAW ENFORCEMENT, ,.1,5,6,SSW,6,SSW,JAX CRAIG MUNI ARPT,09/06/2000,1040,30.25,-81.55,30.25,-81.55,"A weak FO was observed touching down in an open area of an industral park just east of UNF.","",5
5174908,DUVAL CO.,JACKSONVILLE,09/06/2000,1045,Tornado, ,F0,0,0,55000,0,FL,EST, ,1103161,C,31,JAX,0,0,TRAINED SPOTTER, ,.1,8,9,SW,9,SW,JACKSONVILLE,09/06/2000,1045,30.25,-81.76667,30.25,-81.76667,"Weak FO. The tornado tossed a car on Blanding Blvd, caused some minor roof damage and blew down numerous trees and power lines. More than 7,000 customers were without power for most of the day.","",6
5177903,GARFIELD CO.,PANGUITCH,09/08/2000,1200,Tornado, ,F0,0,0,0,0,UT,MST, ,1105882,C,17,SLC,0,0,GENERAL PUBLIC, ,2,20, , , , ,PANGUITCH,09/08/2000,1205,37.82,-112.43,37.82,-112.43,"A tornado was spotted near Panguitch on Highway 20 which goes from US-89 to I-15. The tornado stayed over open country for about 5 minutes before lifting. No damage was reported.","",7
5174024,MESA CO.,WHITEWATER,09/08/2000,1305,Tornado, ,F1,0,0,1000,0,CO,MST, ,1103462,C,77,GJT,0,0,GENERAL PUBLIC, ,.4,40,9,ESE,10,ESE,WHITEWATER,09/08/2000,1310,38.93,-108.28,38.93,-108.27,"","A tornado traveled east across two roads in an area just south of Kannah Creek. 100 year old trees were blown down and branches were twisted around some trees.  A power pole was snapped off near a church.  One-foot diameter tree limbs were blown over 100 yards away into a picnic area.",8
5174026,GRAND CO.,MOAB,09/08/2000,1625,Tornado, ,F0,0,0,0,0,UT,MST, ,1103464,C,19,GJT,0,0,BROADCAST MEDIA, ,2,30,18,NW,17,NNW,MOAB,09/08/2000,1630,38.77,-109.78,38.82,-109.67,"","A weak tornado was observed by a radio station employee and her husband as they traveled north on US Highway 191.  The thunderstorm which produced this tornado had a dark green appearance.",9
5157573,MANATEE CO.,BRADENTON,09/09/2000,1135,Tornado, ,F0,0,0,2000,0,FL,EST, ,1104014,C,81,TBW,0,0,GENERAL PUBLIC, ,.1,5,4,SW,4,SW,BRADENTON,09/09/2000,1135,27.45,-82.62,27.45,-82.62,"The public reported, through the Manatee County Emergency Management and print media, that a very small tornado (gustnado) briefly touched downed and damaged a home roof awning and destroyed a metal pole and tarp canopy of a Wal-Mart store on the 5300 block of West Cortez Road in Bradenton.","",10
