EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5275561,SALINE CO.,OWENSVILLE,12/07/2001,1725,Tornado, ,F0,0,0,0,0,AR,CST, ,1125693,C,125,LZK,0,0,GENERAL PUBLIC, ,.3,25,1,N,1,NNE,OWENSVILLE,12/07/2001,1726,34.63,-92.82,34.63,-92.82,"A weak tornado (F0) briefly touched down about 1 mile north of Owensville in western Saline County. The tornado caused some minor property damage at a residence on a hilltop and clipped some treetops before it dissipated.","",1
5275562,PULASKI CO.,FERNDALE,12/07/2001,1816,Tornado, ,F0,0,0,0,0,AR,CST, ,1125694,C,119,LZK,0,0,NWS STORM SURVEY, ,5,25,3,SE,5,SW,MAUMELLE,12/07/2001,1824,34.75,-92.52,34.77,-92.50,"The storm that produced a weak tornado in western Saline County just north of Owensville spawned yet another weak tornado (F0) in western Pulaski County. The tornado touched down about 3 miles southeast of Ferndale and tracked northeast. The tornado mostly affected areas on hilltops, with trees uprooted and falling on at least one house. Some structural damage resulted at the home, with the roof mainly affected. The tornado dissipated roughly 5 miles southwest of Maumelle.","",2
5275563,PULASKI CO.,MACON,12/07/2001,1920,Tornado, ,F0,0,0,0,0,AR,CST, ,1125695,C,119,LZK,0,0,NWS STORM SURVEY, ,2,25,6,NE,8,NE,MACON,12/07/2001,1925,34.98,-92.10,35.00,-92.07,"The storm that produced a weak tornado in western Pulaski County spawned another tornado in northeast sections of the county. The tornado (F0) touched down 6 miles northeast of Macon and had difficulty reaching the ground. Damage mostly consisted of tree tops, power lines and power poles...with some power outages occurring. The tornado moved 2 miles before crossing into Lonoke County.","",3
5275564,LONOKE CO.,CABOT,12/07/2001,1925,Tornado, ,F0,0,0,0,0,AR,CST, ,1125696,C,85,LZK,0,0,NWS STORM SURVEY, ,5,25,4,WNW,3,WNW,WARD,12/07/2001,1937,34.98,-92.08,35.05,-92.02,"The weak tornado (F0) that was produced in northeast Pulaski County crossed into northwest Lonoke County about 4 miles west-northwest of Cabot. The tornado had difficulty reaching the ground and skipped at times. Damage mostly consisted of tree tops, power lines and power poles...with some power outages occurring. The tornado dissipated around 3 miles west-northwest of Ward.","",4
5275565,WHITE CO.,BEEBE,12/07/2001,1953,Tornado, ,F0,0,0,0,0,AR,CST, ,1125697,C,145,LZK,0,0,NWS STORM SURVEY, ,6,25,3,N,2,N,GARNER,12/07/2001,2008,35.12,-91.90,35.17,-91.80,"The storm that produced a weak tornado in northwest Lonoke County spawned another weak tornado in White County. The tornado (F0) touched down about 3 miles north of Beebe and tracked northeast. The tornado had difficulty reaching the ground and skipped at times. Damage mostly consisted of tree tops, power lines and power poles...with some power outages occurring. The tornado moved 6 miles before dissipating around 2 miles north of Garner.","",5
5275817,BRAZORIA CO.,BRAZORIA,12/12/2001,220,Tornado, ,F1,0,0,200000,0,TX,CST, ,1125754,C,39,HGX,0,0,EMERGENCY MANAGER, ,1.5,75,5,SW,3,SW,BRAZORIA,12/12/2001,225,29.00,-95.65,29.02,-95.62,"An F1 Tornado touched down 5 miles southwest of Brazoria. Several homes in the Lazy Oak Ranch Subdivision on CR 461A  had roof damage.  A machine shop on CR 461 sustained heavy damage, along with the cars and boats in its parking lot. There were no injuries. Numerous trees were down from the San Bernard River to the Lazy Oak subdivision. Reported by Emergency Management.","",6
5275865,BRAZORIA CO.,BRAZORIA,12/12/2001,230,Tornado, ,F0,0,0,200000,0,TX,CST, ,1125754,C,39,HGX,0,0,EMERGENCY MANAGER, ,1,30, , , , ,BRAZORIA,12/12/2001,233,29.05,-95.58,29.05,-95.58,"An F0 Tornado touched down in the city of Brazoria. There was roof and structural damage to homes and businesses, in a 10 block area, along TX Highway 36 in Brazoria.  A 175 foot internet tower was blown down, signs were bent over, and minor roof damage to Brazoria Elementary school. No injuries. Reported by Emergency Management","",7
5276178,BEAUREGARD PAR.,DE RIDDER,12/12/2001,1112,Tornado, ,F1,0,0,100000,0,LA,CST, ,1125454,C,11,LCH,0,0,NWS STORM SURVEY, ,2,10,5,W,2,NW,DE RIDDER,12/12/2001,1118,30.85,-93.37,30.87,-93.30,"","A small tornado touched down in wooded area near DeRidder, turning over an 18 wheeler and blowing down trees and power lines. One home received shingle damage to its roof. This tornado continued into Vernon Parish.",8
5276179,VERNON PAR.,ROSEPINE,12/12/2001,1118,Tornado, ,F1,0,0,50000,0,LA,CST, ,1125455,C,115,LCH,0,0,NWS STORM SURVEY, ,2,20,2,SW, , ,ROSEPINE,12/12/2001,1120,30.90,-93.30,30.92,-93.28,"","The tornado that originated in Beauregard Parish continued into rural Vernon Parish, blowing trees and power lines down on Planer Mill Road. A couple of homes in Rosepine lost shingles during the storm.",9
5273937,TENSAS PAR.,NEWELLTON,12/12/2001,1555,Tornado, ,F0,0,0,1000,0,LA,CST, ,1125306,C,107,JAN,0,0,LAW ENFORCEMENT, ,.2,30,6,N,6,N,NEWELLTON,12/12/2001,1557,32.15,-91.23,32.15,-91.23,"A brief tornado touchdown occurred over open country. No damage to structures was reported, but a few trees and powerlines were knocked down.","",10
